nom;insee;nb_poi;nb_hotels_3_etoiles_min;lat_centre;long_centre
Aisy-sous-Thil;21007;3;0;47.39345251706671;4.278873723978386
Alligny-en-Morvan;58003;11;2;47.20971684291865;4.173386332345057
Anost;71009;9;0;47.077071354480196;4.092417798040463
Arleuf;58010;6;0;47.04041332785227;4.015724423941358
Asquins;89021;5;2;47.487805015180044;3.7472160398383823
Avallon;89025;20;6;47.482478993339846;3.915859539719983
Bard-le-Régulier;21046;0;0;47.14614398651827;4.301456458097157
Barnay;71020;1;0;47.085220496724375;4.32108474276243
Bazoches;58023;6;0;47.36885875302467;3.7937752445197743
Beauvilliers;89032;2;2;47.4132193225589;4.035778321929747
Blanot;21083;0;0;47.178708391696965;4.235626659078096
Blismes;58034;2;0;47.122905127653496;3.8214980941315773
Brassy;58037;3;0;47.2637724451774;3.934046128255763
Brazey-en-Morvan;21102;3;0;47.17244432273395;4.2760424331789935
Bussières;21119;0;0;47.660625362852684;4.961012300395464
Cervon;58047;6;2;47.23967519158617;3.752194563221247
Chalaux;58049;1;0;47.33301200445773;3.912707680337832
Champeau-en-Morvan;21139;1;3;47.27299586882902;4.155878804667316
Chastellux-sur-Cure;89089;6;2;47.38536694141693;3.884787129807667
Châtin;58066;2;0;47.10299498149563;3.883095427407698
Chaumard;58068;4;0;47.14567865207353;3.913320807516186
Chiddes;58074;4;1;46.86216694316954;3.929542708679076
Chissey-en-Morvan;71129;2;0;47.1217509820619;4.215310303525513
Corancy;58082;1;0;47.10625617452236;3.9598787626226772
Cussy-en-Morvan;71165;1;0;47.093097797459784;4.163634537395944
Domecy-sur-Cure;89145;3;2;47.41019477334865;3.813311299723057
Dommartin;58099;0;0;47.071809666351605;3.845421045851227
Dompierre-en-Morvan;21232;2;0;47.400466087595184;4.232161603683132
Dun-les-Places;58106;6;2;47.28979768900475;4.019283397492688
Dun-sur-Grandry;58107;0;0;47.089870025290324;3.799850750712848
Étang-sur-Arroux;71192;3;0;46.85940145903482;4.179130913360997
Fâchin;58111;0;0;47.00242128199396;3.966922250385802
Foissy-lès-Vézelay;89170;1;2;47.43730676651886;3.7590061812343443
Fontenay-près-Vézelay;89176;4;2;47.41554345563499;3.739514037960305
Gâcogne;58120;2;0;47.23325913706328;3.878533625884409
Gien-sur-Cure;58125;0;2;47.14565706572655;4.090214616717279
Glux-en-Glenne;58128;17;0;46.95578607988018;4.021372353301156
Gouloux;58129;5;2;47.230592160513915;4.084007436696561
Island;89203;4;6;47.46010829100209;3.856269412345964
Juillenay;21328;2;3;47.361372851134185;4.272108407815914
La Celle-en-Morvan;71509;4;3;47.007440957941824;4.178547722920215
La Chapelle-sous-Uchon;71096;0;0;46.83482591788507;4.243130523705887
La Comelle;71142;3;0;46.88095295976768;4.119198298712543
La Grande-Verrière;71223;6;0;46.96888756755673;4.140881190173634
